first_name,last_name,email,date_of_birth,gender,phone,address,emergency_contact,emergency_relation,class_code,section,roll_number,remarks,father_name,father_phone,father_email,father_profession,father_cin,mother_name,mother_phone,mother_email,mother_profession,mother_cin,guardian_name,guardian_phone,guardian_email,guardian_profession,guardian_cin,guardian_relation
Aina,Razanajatovo,aina.razanajatovo@gmail.com,2010-01-10,male,+261 34 20 100 10,Lot 1 Antananarivo,Parent Aina,Père,61A,Générale,1000,,Jean Razanajatovo,+261 34 30 200 20,pere0@gmail.com,Commerçant,100000000000,Marie Razanajatovo,+261 33 40 300 30,mere0@gmail.com,Enseignante,200000000000,Tuteur Aina,+261 32 50 400 40,tuteur0@gmail.com,Employé,300000000000,Oncle
Tahina,Razafindrabe,tahina.razafindrabe@gmail.com,2011-02-11,female,+261 34 21 101 11,Lot 2 Antananarivo,Parent Tahina,Père,62A,Générale,1001,,Jean Razafindrabe,+261 34 31 201 21,pere1@gmail.com,Commerçant,100000000001,Marie Razafindrabe,+261 33 41 301 31,mere1@gmail.com,Enseignante,200000000001,Tuteur Tahina,+261 32 51 401 41,tuteur1@gmail.com,Employé,300000000001,Oncle
Miora,Rakotomalala,miora.rakotomalala@gmail.com,2012-03-12,male,+261 34 22 102 12,Lot 3 Antananarivo,Parent Miora,Père,63A,Générale,1002,,Jean Rakotomalala,+261 34 32 202 22,pere2@gmail.com,Commerçant,100000000002,Marie Rakotomalala,+261 33 42 302 32,mere2@gmail.com,Enseignante,200000000002,Tuteur Miora,+261 32 52 402 42,tuteur2@gmail.com,Employé,300000000002,Oncle
Faniry,Andrianina,faniry.andrianina@gmail.com,2013-04-13,female,+261 34 23 103 13,Lot 4 Antananarivo,Parent Faniry,Père,64A,Générale,1003,,Jean Andrianina,+261 34 33 203 23,pere3@gmail.com,Commerçant,100000000003,Marie Andrianina,+261 33 43 303 33,mere3@gmail.com,Enseignante,200000000003,Tuteur Faniry,+261 32 53 403 43,tuteur3@gmail.com,Employé,300000000003,Oncle
Toky,Rasoa,toky.rasoa@gmail.com,2014-05-14,male,+261 34 24 104 14,Lot 5 Antananarivo,Parent Toky,Père,61A,Générale,1004,,Jean Rasoa,+261 34 34 204 24,pere4@gmail.com,Commerçant,100000000004,Marie Rasoa,+261 33 44 304 34,mere4@gmail.com,Enseignante,200000000004,Tuteur Toky,+261 32 54 404 44,tuteur4@gmail.com,Employé,300000000004,Oncle
Rina,Rakoto,rina.rakoto@gmail.com,2010-06-15,female,+261 34 25 105 15,Lot 6 Antananarivo,Parent Rina,Père,62A,Générale,1005,,Jean Rakoto,+261 34 35 205 25,pere5@gmail.com,Commerçant,100000000005,Marie Rakoto,+261 33 45 305 35,mere5@gmail.com,Enseignante,200000000005,Tuteur Rina,+261 32 55 405 45,tuteur5@gmail.com,Employé,300000000005,Oncle
Lova,Andrianina,lova.andrianina@gmail.com,2011-07-16,male,+261 34 26 106 16,Lot 7 Antananarivo,Parent Lova,Père,63A,Générale,1006,,Jean Andrianina,+261 34 36 206 26,pere6@gmail.com,Commerçant,100000000006,Marie Andrianina,+261 33 46 306 36,mere6@gmail.com,Enseignante,200000000006,Tuteur Lova,+261 32 56 406 46,tuteur6@gmail.com,Employé,300000000006,Oncle
Feno,Rakoto,feno.rakoto@gmail.com,2012-08-17,female,+261 34 27 107 17,Lot 8 Antananarivo,Parent Feno,Père,64A,Générale,1007,,Jean Rakoto,+261 34 37 207 27,pere7@gmail.com,Commerçant,100000000007,Marie Rakoto,+261 33 47 307 37,mere7@gmail.com,Enseignante,200000000007,Tuteur Feno,+261 32 57 407 47,tuteur7@gmail.com,Employé,300000000007,Oncle
Hasina,Randria,hasina.randria@gmail.com,2013-09-18,male,+261 34 28 108 18,Lot 9 Antananarivo,Parent Hasina,Père,61A,Générale,1008,,Jean Randria,+261 34 38 208 28,pere8@gmail.com,Commerçant,100000000008,Marie Randria,+261 33 48 308 38,mere8@gmail.com,Enseignante,200000000008,Tuteur Hasina,+261 32 58 408 48,tuteur8@gmail.com,Employé,300000000008,Oncle
Nomena,Rasoa,nomena.rasoa@gmail.com,2014-01-10,female,+261 34 29 109 19,Lot 10 Antananarivo,Parent Nomena,Père,62A,Générale,1009,,Jean Rasoa,+261 34 39 209 29,pere9@gmail.com,Commerçant,100000000009,Marie Rasoa,+261 33 49 309 39,mere9@gmail.com,Enseignante,200000000009,Tuteur Nomena,+261 32 59 409 49,tuteur9@gmail.com,Employé,300000000009,Oncle
